run_id,phase,variant,scenario_id,category,repetition,model,env_config,outcome,correctness,duration_seconds,holmes_duration_seconds,llm_calls,tool_calls,total_tokens,prompt_tokens,completion_tokens,cached_tokens,cost,error_type,error_message,nodeid
rq1-direct-20260916-153841,formal,direct_llm,09_crashpod,configuration,1,qwen-plus,no_tools,passed,0,6.495021082999301,,1,0,330,77,253,,,,,direct::09_crashpod::1
rq1-direct-20260916-153841,formal,direct_llm,10_image_pull_backoff,image,1,qwen-plus,no_tools,passed,0,5.94970629200543,,1,0,331,79,252,,,,,direct::10_image_pull_backoff::1
rq1-direct-20260916-153841,formal,direct_llm,15_failed_readiness_probe,probe,1,qwen-plus,no_tools,passed,1,5.287279666001268,,1,0,300,77,223,,,,,direct::15_failed_readiness_probe::1
rq1-direct-20260916-153841,formal,direct_llm,17_oom_kill,resource,1,qwen-plus,no_tools,passed,1,6.1859153339974,,1,0,346,84,262,,,,,direct::17_oom_kill::1
rq1-direct-20260916-153841,formal,direct_llm,80_pvc_storage_class_mismatch,storage,1,qwen-plus,no_tools,passed,0,7.371715207998932,,1,0,397,81,316,,,,,direct::80_pvc_storage_class_mismatch::1
rq1-direct-20260916-153841,formal,direct_llm,176_network_policy_blocking_traffic_no_skills,network,1,qwen-plus,no_tools,passed,0,9.684109875001013,,1,0,509,85,424,,,,,direct::176_network_policy_blocking_traffic_no_skills::1
rq1-direct-20260916-153841,formal,direct_llm,09_crashpod,configuration,2,qwen-plus,no_tools,passed,0,6.186310875003983,,1,0,337,77,260,,,,,direct::09_crashpod::2
rq1-direct-20260916-153841,formal,direct_llm,10_image_pull_backoff,image,2,qwen-plus,no_tools,passed,0,6.302481209000689,,1,0,344,79,265,,,,,direct::10_image_pull_backoff::2
rq1-direct-20260916-153841,formal,direct_llm,15_failed_readiness_probe,probe,2,qwen-plus,no_tools,passed,1,5.426305583001522,,1,0,300,77,223,,,,,direct::15_failed_readiness_probe::2
rq1-direct-20260916-153841,formal,direct_llm,17_oom_kill,resource,2,qwen-plus,no_tools,passed,1,6.142033500000252,,1,0,346,84,262,,,,,direct::17_oom_kill::2
